EmployeeID,Name,hrs,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
1,Jennifer Grant,7.315970548861944,High,Excellent,High,Very High,Good,51,No,Travel_Rarely,Sales,6,College,Life Sciences,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0
2,Brittany Dunn,6.816080990629167,Medium,Outstanding,High,Medium,Best,31,Yes,Travel_Frequently,Research & Development,10,Below College,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4
3,Joel Rodgers,6.789214636323056,High,Excellent,Medium,Medium,Bad,32,No,Travel_Frequently,Research & Development,17,Master,Other,Male,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3
4,Gabriel Henson PhD,7.877561356537222,Medium,Excellent,Very High,Very High,Better,38,No,Non-Travel,Research & Development,2,Doctor,Life Sciences,Male,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5
5,James Bryant,10.275802097277776,High,Excellent,Very High,Low,Better,32,No,Travel_Rarely,Research & Development,10,Below College,Medical,Male,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4
6,Michelle Wade,6.450876840696111,High,Excellent,High,Medium,Good,46,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,Female,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7
7,Samuel Kim,6.5635575635875,High,Outstanding,Low,High,Bad,28,Yes,Travel_Rarely,Research & Development,11,College,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0
8,Noah Harris,6.6843161535027775,High,Outstanding,Low,Medium,Better,29,No,Travel_Rarely,Research & Development,18,Bachelor,Life Sciences,Male,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0
9,Tyler Henderson,6.653576528335556,High,Outstanding,Medium,Very High,Better,31,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8
10,Jasmine Hayes,8.133493975903612,High,Excellent,Medium,Low,Better,25,No,Non-Travel,Research & Development,7,Master,Medical,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5
11,Brandon Buchanan,6.841839580544167,Medium,Excellent,High,Very High,Better,45,No,Travel_Rarely,Research & Development,17,College,Medical,Male,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10
12,Robert Aguirre,8.55430834448889,High,Excellent,,Very High,Better,36,No,Travel_Rarely,Research & Development,28,Below College,Life Sciences,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11
13,Nicole Rosales,8.8714212405175,High,Excellent,Very High,Low,Better,55,No,Travel_Rarely,Research & Development,14,Master,Life Sciences,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13
14,Jerry Rose,5.894035029004722,Medium,Excellent,Low,Medium,Good,47,Yes,Non-Travel,Research & Development,1,Below College,Medical,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9
15,William Pham,6.382033690316667,High,Excellent,Very High,Very High,Good,28,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4
16,Nicholas Parker,6.034225792056945,High,Excellent,High,Very High,Best,37,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1
17,Michael Chen,10.881625390450557,Medium,Excellent,Very High,High,Best,21,No,Travel_Rarely,Research & Development,3,College,Life Sciences,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0
