EmployeeID,hrs,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Name
1,7.315970548861944,High,Excellent,High,Very High,Good,51,No,Travel_Rarely,Sales,6,College,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1.0,Y,11,8,0,1.0,6,1,0,0,Jennifer Grant
2,6.816080990629167,Medium,Outstanding,High,Medium,Best,31,Yes,Travel_Frequently,Research & Development,10,Below College,Life Sciences,1,Female,1,Research Scientist,Single,41890,0.0,Y,23,8,1,6.0,3,5,1,4,Brittany Dunn
3,6.789214636323056,High,Excellent,Medium,Medium,Bad,32,No,Travel_Frequently,Research & Development,17,Master,Other,1,Male,4,Sales Executive,Married,193280,1.0,Y,15,8,3,5.0,2,5,0,3,Joel Rodgers
4,7.877561356537222,Medium,Excellent,Very High,Very High,Better,38,No,Non-Travel,Research & Development,2,Doctor,Life Sciences,1,Male,3,Human Resources,Married,83210,3.0,Y,11,8,3,13.0,5,8,7,5,Gabriel Henson PhD
5,10.275802097277776,High,Excellent,Very High,Low,Better,32,No,Travel_Rarely,Research & Development,10,Below College,Medical,1,Male,1,Sales Executive,Single,23420,4.0,Y,12,8,2,9.0,2,6,0,4,James Bryant
6,6.450876840696111,High,Excellent,High,Medium,Good,46,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,1,Female,4,Research Director,Married,40710,3.0,Y,13,8,0,28.0,5,7,7,7,Michelle Wade
7,6.5635575635875,High,Outstanding,Low,High,Bad,28,Yes,Travel_Rarely,Research & Development,11,College,Medical,1,Male,2,Sales Executive,Single,58130,2.0,Y,20,8,1,5.0,2,0,0,0,Samuel Kim
8,6.6843161535027775,High,Outstanding,Low,Medium,Better,29,No,Travel_Rarely,Research & Development,18,Bachelor,Life Sciences,1,Male,2,Sales Executive,Married,31430,2.0,Y,22,8,3,10.0,2,0,0,0,Noah Harris
9,6.653576528335556,High,Outstanding,Medium,Very High,Better,31,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,3,Laboratory Technician,Married,20440,0.0,Y,21,8,0,10.0,2,9,7,8,Tyler Henderson
10,8.133493975903612,High,Excellent,Medium,Low,Better,25,No,Non-Travel,Research & Development,7,Master,Medical,1,Female,4,Laboratory Technician,Divorced,134640,1.0,Y,13,8,1,6.0,2,6,1,5,Jasmine Hayes
11,6.841839580544167,Medium,Excellent,High,Very High,Better,45,No,Travel_Rarely,Research & Development,17,College,Medical,1,Male,2,Laboratory Technician,Married,79910,0.0,Y,13,8,2,21.0,2,20,4,10,Brandon Buchanan
12,8.55430834448889,High,Excellent,,Very High,Better,36,No,Travel_Rarely,Research & Development,28,Below College,Life Sciences,1,Male,1,Laboratory Technician,Married,33770,0.0,Y,12,8,2,16.0,2,15,10,11,Robert Aguirre
13,8.8714212405175,High,Excellent,Very High,Low,Better,55,No,Travel_Rarely,Research & Development,14,Master,Life Sciences,1,Female,1,Sales Executive,Single,55380,0.0,Y,17,8,0,37.0,2,36,4,13,Nicole Rosales
14,5.894035029004722,Medium,Excellent,Low,Medium,Good,47,Yes,Non-Travel,Research & Development,1,Below College,Medical,1,Male,1,Research Scientist,Married,57620,1.0,Y,11,8,2,10.0,4,10,9,9,Jerry Rose
15,6.382033690316667,High,Excellent,Very High,Very High,Good,28,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,1,Manufacturing Director,Married,25920,1.0,Y,14,8,0,5.0,2,5,0,4,William Pham
