id_employee	name	involvement	performance	environment	satisfaction	life_balance	age	travel	department	distance_home	education	education_field	gender	job_level	role	marital_status	income	previous_companies	salary_hike	stock_option	total_working_years	training_ly	years_company	last_promotion	years_curr_manager
1	Jennifer Grant	High	Excellent	High	3	2	51	2	Sales	6	College	Life Sciences	Female	1	Healthcare Representative	2	2148	1	11	0	1	6	1	0	0
3	Joel Rodgers	High	Excellent	Medium	5	4	32	0	Research & Development	17	Master	Other	Male	4	Sales Executive	1	1562	1	15	3	5	2	5	0	3
4	Gabriel Henson PhD	Medium	Excellent	Very High	4	1	38	0	Research & Development	2	Doctor	Life Sciences	Male	3	Human Resources	1	2358	3	11	3	13	5	8	7	5
5	James Bryant	High	Excellent	Very High	7	1	32	0	Research & Development	10	Below College	Medical	Male	1	Sales Executive	1	1868	4	12	2	9	2	6	0	4
6	Michelle Wade	High	Excellent	High	9	1	46	0	Research & Development	8	Bachelor	Life Sciences	Female	4	Research Director	1	2542	3	13	0	28	5	7	7	7
8	Noah Harris	High	Outstanding	Low	5	3	29	0	Research & Development	18	Bachelor	Life Sciences	Male	2	Sales Executive	3	2082	2	22	3	10	2	0	0	0
9	Tyler Henderson	High	Outstanding	Medium	4	1	31	0	Research & Development	1	Bachelor	Life Sciences	Male	3	Laboratory Technician	2	2124	0	21	0	10	2	9	7	8
10	Jasmine Hayes	High	Excellent	Medium	5	1	25	0	Research & Development	7	Master	Medical	Female	4	Laboratory Technician	3	2027	1	13	1	6	2	6	1	5
11	Brandon Buchanan	Medium	Excellent	High	5	1	45	0	Research & Development	17	College	Medical	Male	2	Laboratory Technician	2	3584	0	13	2	21	2	20	4	10
12	Robert Aguirre	High	Excellent		6	1	36	0	Research & Development	28	Below College	Life Sciences	Male	1	Laboratory Technician	2	2758	0	12	2	16	2	15	10	11
13	Nicole Rosales	High	Excellent	Very High	6	1	55	0	Research & Development	14	Master	Life Sciences	Female	1	Sales Executive	2	5675	0	17	0	37	2	36	4	13
15	William Pham	High	Excellent	Very High	7	3	28	0	Research & Development	1	Bachelor	Life Sciences	Male	1	Manufacturing Director	2	2428	1	14	0	5	2	5	0	4
16	Nicholas Parker	High	Excellent	High	5	4	37	0	Research & Development	1	Bachelor	Life Sciences	Male	2	Healthcare Representative	1	2123	4	11	0	7	2	5	0	1
17	Michael Chen	Medium	Excellent	Very High	8	3	21	0	Research & Development	3	College	Life Sciences	Male	1	Laboratory Technician	2	2526	1	12	3	3	3	3	1	0
18	Joshua Villarreal	High	Excellent	Low	7	4	37	0	Research & Development	1	Bachelor	Medical	Male	2	Sales Executive	2	2483	2	13	1	15	2	5	0	2
