id_employee	name	involvement	performance	environment	satisfaction	life_balance	age	travel	department	distance_home	education	education_field	gender	job_level	role	marital_status	income	previous_companies	salary_hike	stock_option	total_working_years	training_ly	years_company	last_promotion	years_curr_manager
2	Brittany Dunn	Medium	Outstanding	High	4	2	31	0	Research & Development	10	Below College	Life Sciences	Female	1	Research Scientist	2	1842.0	0	23	0	6	3	5	1	4
7	Samuel Kim	High	Outstanding	Low	1	1	28	2	Research & Development	13	College	College	Medical	2	Sales Executive	3	1554.0	2	20	0	5	2	0	0	0
14	Jerry Rose	Medium	Excellent	Low	3	4	47	0	Research & Development	1	Below College	Medical	Male	1	Research Scientist	3	2209.0	1	11	2	10	4	10	9	9
29	Curtis Brown	Medium	Excellent	Very High	1	3	44	2	Research & Development	1	College	College	Medical	2	Research Scientist	2	1613.0	3	14	0	19	2	1	0	0
31	Mr. Kyle Ramsey	Medium	Excellent	Low	3	2	26	2	Research & Development	4	Bachelor	Medical	Male	3	Research Scientist	2	1725.0	2	11	0	5	5	3	0	2
36	Steven Ochoa	High	Excellent	Very High	4	3	26	0	Research & Development	8	Bachelor	Medical	Male	2	Manager	3	2229.0	1	12	2	8	5	8	7	4
39	Eric Robinson	Medium	Excellent	High	1	4	18	1	Research & Development	1	Master	Master	Life Sciences	1	Sales Executive	3	1409.0	1	14	1	0	3	0	0	0
60	Wendy Sullivan	High	Excellent	High	5	1	52	0	Research & Development	7	Below College	Life Sciences	Female	2	Research Scientist	2	1978.0	2	18	1	11	2	8	7	7
66	Alexander Bowman	Medium	Excellent	Low	4	1	28	0	Research & Development	9	Master	Medical	Male	1	Sales Executive	2	1532.0	5	14	0	5	4	3	2	2
70	Karen Miller	High	Excellent	Very High	1	2	39	0	Research & Development	1	Below College	Below College	Medical	1	Laboratory Technician	3	1678.0	4	17	0	12	0	1	0	0
79	Danielle Schultz	High	Excellent	Medium	4	2	29	0	Research & Development	29	Bachelor	Medical	Female	1	Research Scientist	2	1402.0	1	13	2	7	0	7	0	7
100	Samantha Baker	Medium	Excellent	Low	4	2	21	0	Research & Development	9	Bachelor	Medical	Female	4	Manufacturing Director	3	1485.0	1	12	0	3	5	3	1	2
106	Brenda Williams MD	Low	Outstanding	Very High	1	2	33	0	Human Resources	33	College	College	Human Resources	5	Manager	3	1513.0	1	21	1	1	3	1	0	0
109	Stephanie Forbes	Very High	Excellent	Low	3	2	41	0	Research & Development	16	Below College	Medical	Female	1	Research Scientist	2	1520.0	1	11	1	8	3	8	7	7
111	Melissa Day	Medium	Outstanding	High	3	3	40	0	Research & Development	8	Bachelor	Medical	Female	1	Healthcare Representative	3	2014.0	2	20	0	8	2	6	1	0
113	Mr. Gary Miller	High	Excellent	High	1	2	21	2	Human Resources	12	College	Human Resources	Male	1	Laboratory Technician	2	1483.0	1	12	1	1	2	1	0	0
